fileID,CPPS,GNEmax_4500,Hfno_6000,HNR,HNR_D,H1_H2,Jit,PSD,Shim,ShimdB,Slope,Tilt
hidaka_breathy,4.33083156106873,0.38542878170770073,1.4847823611979063,9.781,19.875975270757515,-3.3500178443592743,2.147,0.001250736,13.207000000000003,1.211,-23.119870151892403,-5.782090575953289
hidaka_normal,17.535684662643455,0.970325744672416,1.9297382507087497,28.77,39.97068852803156,5.303544795517976,0.165,1.9067e-05,1.812,0.158,-19.4917836958375,-6.598565231272678
hidaka_rough,12.639306908613092,0.894591270869914,2.163459753625575,19.031,16.50385728310049,-10.0027111566641,0.811,0.000328346,7.442,0.652,-33.35100784290071,-9.250448425323386
hidaka_strained,18.151445260085207,0.9747094989398931,1.457862263767251,12.082,33.140783657539785,1.5789473653171313,0.741,9.548e-05,4.364,0.381,-8.734836668515833,-8.347216109302373
